id,kod_sekolah,nama_sekolah,nama_pengetua,alamat_sekolah,emel_sekolah,no_telefon,no_faks,poskod,id_jenis_sekolah,id_ppd,id_bandar,id_daerah,id_negeri,status
,KFT9001,SMA SAADAH AL-DINIAH AL-ISLAMIAH,ENCIK,SUNGAI LIMAU DALAM YAN KEDAH,a@gmail.com181,04-7694233,04-7694233,06910,10,3,299,16,2,1
,KAR0003,SMA YAYASAN KHAIRIAH BALING KEDAH,ENCIK,KAMPUNG PISANG KUPANG,a@gmail.com173,04-4766934,04-4766934,09200,14,4,146,18,2,1
,KFT0012,SEKOLAH MENENGAH AGAMA (ARAB) ANNAJAH,ENCIK,"TITI GANTONG,KG SUNGAI LIMAU,PULAI",a@gmail.com184,04-4721046,04-4721044,09100,10,4,146,18,2,1
,KAR0003,SMA YAYASAN KHAIRIAH,ENCIK,"KAMPUNG PISANG , KUPANG",a@gmail.com191,04-4766934,04-4766934,09200,12,4,146,18,2,1
,KAR0001,SEKOLAH MENENGAH AGAMA DINIAH ISLAMIAH,ENCIK,PEKAN KUPANG,a@gmail.com195,04-4766067,04-4766067,09200,12,4,146,18,2,1
,KFT0010,SEKOLAH MENENGAH AGAMA ISLAHIAH(SABK),ENCIK,"KG. DINGIN,MAHANG",a@gmail.com182,04-4170054,04-4041986,09700,10,7,246,19,2,1
,DZA1007,PUSAT PENGAJIAN PONDOK YIK,ENCIK,"TELONG, KANDIS BACHOK KELANTAN",a@gmail.com101,09-7787550,09-7787556,16310,11,80,306,23,3,1
,DYK0011,MAAHAD AMIR INDRA PETRA,ENCIK,"BERIS KUBUR BESAR , BACHOK, KELANTAN",a@gmail.com104,09-7649392,09-7649899,16350,11,80,306,23,3,1
,DXT0011,MAAHAD AMIR INDRA PETRA,ENCIK,BERIS KUBUR BESAR,a@gmail.com105,09-7649392,09-7649899,16350,14,80,306,23,3,1
,DXT0012,MAAHAD YAAKUBIAH,ENCIK,NIPAH,a@gmail.com106,09-7789081,09-7783328,16300,11,80,306,23,3,1
,DXT0012,MAAHAD YAAKUBIAH,ENCIK,KG.NIPAH,a@gmail.com107,09-7789081,09-7783328,16300,14,80,306,23,3,1
,DZA1007,PUSAT PENGAJIAN PONDOK YIK,ENCIK,"TELONG, KANDIS BACHOK KELANTAN",a@gmail.com108,09-7787550,09-7787556,16310,14,80,306,23,3,1
,DXT1005,MAAHAD MUHAMMADI PEREMPUAN,ENCIK,JALAN MERBAU,a@gmail.com79,09-7482549,09-7431315,15300,11,74,803,24,3,1
,DXT1028,MAAHAD PENGAJIAN ISLAM,ENCIK,JALAN LONG YUNUS,a@gmail.com80,09-7483804,09-7431572,15200,11,74,803,24,3,1
,DXT1028,MAAHAD PENGAJIAN ISLAM,ENCIK,JALAN LONG YUNUS,a@gmail.com81,09-7483804,09-7431572,15200,14,74,803,24,3,1
,DXY0055,SMU (A) TARBIAH MARDHIAH,ENCIK,PANCHOR KEMUMIN,a@gmail.com83,09-7713734,09-7713733,16100,14,74,803,24,3,1
,DXT1114,KOLEJ TAHFIZ SAINS NURUL AMAN,ENCIK,"KOK LANAS, 16450 KOTA BHARU, KELANTAN.",a@gmail.com85,09-7880702,09-7880701,16450,11,74,803,24,3,1
,DXT6011,MAAHAD MUHAMMADI PASIR PEKAN,ENCIK,"16060 KOTA BHARU,KELANTAN",a@gmail.com91,09-7196990,09-7198830,16060,11,74,803,24,3,1
,DYK1012,MAAHAD MUHAMMADI LELAKI,ENCIK,JALAN TOK GURU,a@gmail.com93,09-7444003,09-7486314,15400,14,74,803,24,3,1
,DYK1012,MAAHAD MUHAMMADI LELAKI,ENCIK,JALAN TOK GURU,a@gmail.com97,09-7444003,09-7430363,15400,11,74,803,24,3,1
,DXT1027,SMU ( A ) AZHARIAH MELOR,ENCIK,"PEKAN MELOR,",a@gmail.com98,09-7831127,09-7833127,16400,11,74,803,24,3,1
,DXT1027,SMU ( A ) AZHARIAH MELOR,ENCIK,"PEKAN MELOR,",a@gmail.com99,09-7831127,09-7833127,16400,14,74,803,24,3,1
,DXT1030,MAAHAD AR-RAHMAH KENALI,ENCIK,KUBANG KERIAN,a@gmail.com115,09-7666210,09-7666215,16150,11,74,803,24,3,1
,DXT1008,SMU (A) TARBIAH MARDHIAH,ENCIK,PANCHOR KEMUMIN,a@gmail.com116,09-7713734,09-7713733,16100,11,74,803,24,3,1
,DXT1030,MAAHAD AR - RAHMAH KENALI,ENCIK,KUBANG KERIAN,a@gmail.com117,09-7666210,09-7666215,16150,14,74,803,24,3,1
,DXM1007,MAAHAD TAQADDUM MAARIF,ENCIK,"MAAHAD TAQADDUM MAARIF,PASIR TUMBOH",a@gmail.com118,09-7667474,09-7642007,16150,11,74,803,24,3,1
,DXM1007,MAAHAD TAQADDUM MAARIF,ENCIK,"MAAHAD TAQADDUM MAARIF,PASIR TUMBOH",a@gmail.com119,09-7667474,09-7642007,16150,14,74,803,24,3,1
,1,MAAHAD MUHAMMADI GUA MUSANG,ENCIK,MAAHAD MUHAMMADI GUA MUSANG,a@gmail.com75,09-9120600,09-9120603,18300,11,79,316,30,3,1
,6,MAAHAD MUHAMMADI GUA MUSANG,ENCIK,MAAHAD MUHAMMADI GUA MUSANG,a@gmail.com78,09-9120600,09-9120603,18300,14,79,316,30,3,1
,5,MAAHAD RAHMANIAH,ENCIK,"KM 5, LEBUHRAYA KUALA KRAI - GUA MUSANG",a@gmail.com77,09-9602112,09-9602111,18000,11,78,351,31,3,1
,5,MAAHAD RAHMANIAH,ENCIK,"KM 5, LEBUHRAYA KUALA KRAI - GUA MUSANG",a@gmail.com86,09-9602112,09-9602111,18000,14,78,351,31,3,1
,DXM9002,MAAHAD AL-SABIRIN,ENCIK,AYER LANAS,a@gmail.com76,09-9466600,09-9466600,17700,11,83,325,32,3,1
,DXM9002,MAAHAD AL-SABIRIN,ENCIK,AYER LANAS,a@gmail.com100,09-9466600,09-9466600,17700,14,83,325,32,3,1
,MFT1002,SEKOLAH MENENGAH ARAB JAIM ASSYAKIRIN SELANDAR,ENCIK,"77500,SELANDAR,MELAKA",a@gmail.com201,06-5253290,06-5253519,77500,14,42,450,35,4,1
,MRA1002,SEKOLAH MENENGAH ARAB JAIM ASSYAKIRIN SELANDAR,ENCIK,"77500,SELANDAR,MELAKA",a@gmail.com203,06-5253290,06-5253519,77500,10,42,450,35,4,1
,MFT0002,SEKOLAH MENENGAH ARAB JAIM AL ASYRAF,ENCIK,"JLN TANJUNG RIMAU, BUKIT MERCHAT, PULAU SEBANG",a@gmail.com202,06-5549022,06-5547364,78000,14,43,398,36,4,1
,MFT0002,SEKOLAH MENENGAH ARAB (JAIM) AL ASYRAF,ENCIK,"BUKIT MERCHAT, JLN TANJUNG RIMAU, PULAU SEBANG",a@gmail.com204,06-5549022,06-5547364,78000,10,43,398,36,4,1
,NXT5001,MAAHAD AHMADI GEMENCHEH,ENCIK,GEMENCHEH,a@gmail.com207,06-4316053,06-4317320,73200,14,40,577,42,5,1
,NXT5001,MAAHAD AHMADI GEMENCHEH,ENCIK,GEMENCHEH,a@gmail.com208,06-4316053,06-4317320,73200,11,40,577,42,5,1
,CXT9003,MA'AHAD AS-SULTAN AHMAD SHAH AD-DINI,ENCIK,BANDAR TUN RAZAK JENGKA,a@gmail.com73,09-4675087,09-4675086,26400,14,62,630,48,6,1
,CXA7131,SMA AL WOSTO,ENCIK,SMA AL WOSTO KG BERHALA GANTANG,a@gmail.com61,09-2972270,09-2972270,28000,11,59,894,51,6,1
,CXT7130,SEKOLAH MENENGAH AGAMA AL-KHAIRIAH,ENCIK,TEMERLOH PAHANG,a@gmail.com62,09-2961282,09-2962015,28000,14,59,894,51,6,1
,CXT7130,SEKOLAH MENENGAH AGAMA AL-KHAIRIAH,ENCIK,TEMERLOH PAHANG,a@gmail.com68,09-2961282,09-2962015,28000,11,59,894,51,6,1
,CXA7131,SMA AL WOSTO,ENCIK,SMA AL WOSTO KG BERHALA GANTANG,a@gmail.com74,09-2972270,09-2972270,28000,14,59,894,51,6,1
,CXT9003,MA'AHAD AS-SULTAN AHMAD SHAH AD-DINI,ENCIK,BANDAR TUN RAZAK JENGKA,a@gmail.com69,09-4675087,09-4675086,26400,11,63,630,53,6,1
,AZG0008,MAAHAD TAHFIZ AL QURAN WAL QIRAAT ADDIN AIR KUNING,ENCIK,"LOT 7732 JALAN BANIR, KG BARU AIR KUNING, TAPAH PERAK",a@gmail.com1,02-94725459,02-94725459,35000,12,15,752,55,8,1
,AXY2002,SEKOLAH RAJA PEREMPUAN TAAYAH,ENCIK,JALAN RAJA DI HILIR,a@gmail.com7,05-254 5713,05-241 4142,30350,11,17,832,57,8,1
,AXT2004,SEKOLAH MENENGAH AL-HIDAYAH,ENCIK,"LOT 20849, PERSIARAN SEPAKAT 7, TAMAN INDAH JAYA",a@gmail.com33,05-3111151,05-3111151,31350,12,17,832,57,8,1
,AXT2004,SEKOLAH MENENGAH AL-HIDAYAH,ENCIK,"LOT 20849, PERSIARAN SEPAKAT 7, TAMAN INDAH JAYA",a@gmail.com34,05-3111151,05-3111151,31350,14,17,832,57,8,1
,AXZ2001,MAAHAD IMTIYAZ,ENCIK,"NO. 35, JALAN RAJA ABDULLAH, KG. SUNGAI RAPAT",a@gmail.com35,05-3111541,05-3120427,31350,12,17,832,57,8,1
,AXZ2001,MAAHAD IMTIYAZ,ENCIK,"NO. 35, JALAN RAJA ABDULLAH, KG. SUNGAI RAPAT",a@gmail.com36,05-3111541,05-3120427,31350,14,17,832,57,8,1
,AFT2002,SABK MAAHAD AL-UMMAH,ENCIK,JALAN JELAPANG,a@gmail.com15,05-2012727,05-2012357,31200,14,17,834,57,8,1
,AFT2002,SABK MAAHAD AL-UMMAH,ENCIK,JALAN JELAPANG,a@gmail.com32,05-2012727,05-2012357,31200,10,17,834,57,8,1
,AFT3005,SABK MA'AHAD AL-EHYA ASSHARIFF,ENCIK,GUNUNG SEMANGGOL,a@gmail.com37,05-8901017,05-8905524,34400,10,18,823,58,8,1
,AFT3005,SABK MA'AHAD AL-EHYA ASSHARIFF,ENCIK,GUNUNG SEMANGGOL,a@gmail.com38,05-8901017,05-8905524,34400,14,18,823,58,8,1
,AFT3003,SABK SHAMSUL MAARIF AL-WATANIAH,ENCIK,',a@gmail.com25,05-7250234,05-7255193,34250,10,18,829,58,8,1
,AFT3003,SABK SHAMSUL MAARIF AL-WATANIAH,ENCIK,`,a@gmail.com26,05-7250234,05-7255193,34250,14,18,829,58,8,1
,AFT3004,SABK AL-FALAH,ENCIK,PARIT TOK NGAH,a@gmail.com39,05-7256081,05-7250872,34250,10,18,829,58,8,1
,AFT3004,SABK AL-FALAH,ENCIK,PARIT TOK NGAH,a@gmail.com40,05-7256081,05-7250872,34250,14,18,829,58,8,1
,AFT4002,SABK MAAHAD AL-MIZAN,ENCIK,"KG. JALAN BADAK, JELIANG",a@gmail.com2,05-7431431,05-7431193,33800,14,19,863,59,8,1
,AFT4002,SABK MAAHAD AL-MIZAN,ENCIK,"KG. JALAN BADAK, JELIANG",a@gmail.com41,05-7431431,05-7431193,33800,10,19,863,59,8,1
,AFT4004,SABK MAAHAD AL-YAHYAWIAH,ENCIK,',a@gmail.com3,05-7584267,05-7585661,33700,14,19,864,59,8,1
,AFT4001,SABK AD-DINIAH AL-ISLAMIAH,ENCIK,KAMPUNG LALANG,a@gmail.com4,05-7585042,05-7583415,33700,10,19,864,59,8,1
,AFT6005,SABK SYUBBANIAH,ENCIK,',a@gmail.com6,05-8880039,05-8883992,34500,10,21,876,60,8,1
,AFT6005,SABK SYUBBANIAH,ENCIK,',a@gmail.com19,05-8880039,05-8883992,34500,14,21,876,60,8,1
,AFT6004,SABK MAAHAD AL-TARBIAH AL-ISLAMIAH,ENCIK,"BATU 8, JALAN TRONG",a@gmail.com8,05-8552957,05-8551704,34850,14,21,878,60,8,1
,AFT6002,SABK MAAHAD AL-MAARIF AL-ISLAMIAH,ENCIK,"BATU 9, JALAN TRONG",a@gmail.com9,05-8553420,05-8553420,34850,10,21,878,60,8,1
,AFT6001,SABK ADDINIAH,ENCIK,KG. JELUTONG,a@gmail.com10,05-8554667,05-8554766,34850,10,21,878,60,8,1
,AFT6002,SABK MAAHAD AL-MAARIF AL-ISLAMIAH,ENCIK,"BATU 9, JALAN TRONG",a@gmail.com20,05-8553420,05-8553420,34850,14,21,878,60,8,1
,AFT6001,SABK ADDINIAH,ENCIK,KG. JELUTONG,a@gmail.com21,05-8554667,05-8554766,34850,14,21,878,60,8,1
,AFT6004,SABK MAAHAD AL-TARBIAH AL-ISLAMIAH,ENCIK,"BATU 8, JALAN TRONG",a@gmail.com31,05-8552957,05-8551704,34850,10,21,878,60,8,1
,AFT6003,SABK MAAHAD AL-KHAIR LIL BANAT,ENCIK,"JALAN SEKOLAH ARAB, JANA BARU",a@gmail.com11,05-8071021,05-8059355,34600,10,21,883,60,8,1
,AFT6003,SABK MAAHAD AL-KHAIR LIL BANAT,ENCIK,"JALAN SEKOLAH ARAB, JANA BARU",a@gmail.com18,05-8071021,05-8059355,34600,14,21,883,60,8,1
,AGA5180,SMA IRSHADIAH,ENCIK,BATU 26,a@gmail.com5,05-6467369,05-6468771,36100,13,20,762,61,8,1
,AGA5180,SMA IRSHADIAH,ENCIK,BATU 26,a@gmail.com29,05-6467369,05-6468771,36100,14,20,762,61,8,1
,AFT5001,SABK AL-ULUM AL-SYAR'IYYAH,ENCIK,"BATU 20, JALAN BAGAN DATUK",a@gmail.com30,05-6489358,05-6486939,36200,10,20,775,61,8,1
,AFT7001,SABK TAN SRI GHAZALI JAWI,ENCIK,JALAN AIR SUDA,a@gmail.com12,05-7921953,05-7921953,33300,10,22,786,62,8,1
,AFT7001,SABK TAN SRI GHAZALI JAWI,ENCIK,JALAN AIR SUDA,a@gmail.com13,05-7921953,05-7921953,33300,14,22,786,62,8,1
,AXY0040,SM RAJA DR. NAZRIN SHAH,ENCIK,JALAN TANJUNG TUALANG,a@gmail.com17,05-6311646,05-6311641,36800,11,23,940,64,8,1
,AXY0040,SM RAJA DR. NAZRIN SHAH,ENCIK,JALAN TANJUNG TUALANG,a@gmail.com22,05-6311646,05-6311641,36800,14,23,940,64,8,1
,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,ENCIK,JALAN TUANKU SYED SIRAJUDDIN,a@gmail.com229,04-9861350,04-9866852,02600,10,143,946,66,9,1
,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,ENCIK,JALAN TUANKU SYED SIRAJUDDIN,a@gmail.com230,04-9861350,04-9866852,02600,14,143,946,66,9,1
,RLA0001,MA'HAD ATTARBIYAH AL-ISLAMIYAH (MATRI),ENCIK,PERKAMPUNGAN TUNJONG,a@gmail.com231,04-9381155,04-9382469,02400,13,143,948,66,9,1
,RLA0001,MA'HAD ATTARBIYAH AL-ISLAMIYAH (MATRI),ENCIK,PERKAMPUNGAN TUNJONG,a@gmail.com234,04-9381155,04-9382469,02400,14,143,948,66,9,1
,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH ( MENENGAH),ENCIK,BOHOR MALI,a@gmail.com232,04-9807360,04-9808785,02700,10,143,1382,66,9,1
,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH ( MENENGAH),ENCIK,BOHOR MALI,a@gmail.com233,04-9807360,04-9808785,02700,14,143,1382,66,9,1
,PXT0001,MADRASAH MANABI'UL ULUM,ENCIK,PENANTI,a@gmail.com212,04-5212509,04-5212509,14400,10,11,723,67,7,1
,PXT0001,MADRASAH MANABI'UL ULUM,ENCIK,PENANTI,a@gmail.com213,04-5212509,04-5212509,14400,14,11,723,67,7,1
,PFT0002,SMA AL-AHMADIAH AL-IJTIMAIAH,ENCIK,PONDOK PADANG LALANG,a@gmail.com214,04-5374842,04-5391334,14000,10,11,723,67,7,1
,PFT0002,SMA AL-AHMADIAH AL-IJTIMAIAH,ENCIK,PONDOK PADANG LALANG,a@gmail.com215,04-5374842,04-5391334,14000,14,11,723,67,7,1
,PFT0003,SEKOLAH MENENGAH ISLAM AL-MASRIYAH,ENCIK,"1267, JALAN ABDUL KADIR",a@gmail.com221,04-5385126,04-5385126,14000,10,11,723,67,7,1
,PFT0003,SEKOLAH MENENGAH ISLAM AL-MASRIYAH,ENCIK,"1267, JALAN ABDUL KADIR",a@gmail.com225,04-5385126,04-5385126,14000,14,11,723,67,7,1
,PFT0004,SMA FAQIAH DAIMIAH,ENCIK,PERMATANG PAUH,a@gmail.com216,04-3901105,04-3901105,13500,10,14,730,68,7,1
,PFT0004,SMA FAQIAH DAIMIAH,ENCIK,PERMATANG PAUH,a@gmail.com217,04-3901105,04-3901105,13500,14,14,730,68,7,1
,PFT2001,SMA DAERATUL MAARIFIL WATANIAH 1,ENCIK,JALAN PERAK,a@gmail.com218,04-5754140,04-5753140,13200,10,14,736,68,7,1
,PFT2004,SABK AL-MADRASAH AL-KHAIRIAH AL-ISLAMIAH,ENCIK,POKOK SENA KEPALA BATAS,a@gmail.com219,04-5759385,04-5750476,13220,14,14,736,68,7,1
,PFT2003,MAAHAD AL IMAM AN NAWAWI LAHAR MINYAK,ENCIK,MAAHAD AL IMAM AN NAWAWI LAHAR MINYAK,a@gmail.com220,04-5793960,04-5792044,13200,10,14,736,68,7,1
,PFT2001,SMA DAERATUL MAARIFIL WATANIAH 1,ENCIK,JALAN PERAK,a@gmail.com222,04-5754140,04-5753140,13200,14,14,736,68,7,1
,PFT2003,MAAHAD AL IMAM AN NAWAWI,ENCIK,MAAHAD AL IMAM AN NAWAWI LAHAR MINYAK,a@gmail.com223,04-5793960,04-5792044,13200,14,14,736,68,7,1
,PFT2004,SABK AL- MADRASAH AL-KHAIRIAH AL-ISLAMIAH,ENCIK,POKOK SENA  KEPALA BATAS S.P.U,a@gmail.com226,04-5759385,04-5750476,13220,10,14,736,68,7,1
,PXM4002,MAAHAD AL IHSANIAH,ENCIK,"NO.100 JALAN TASEK MUTIARA 6, PERSIARAN MUTIARA 1 ,BTM",a@gmail.com227,04-5060476,04-5899270,14120,10,13,719,69,7,1
,PXM4002,MAAHAD AL IHSANIAH,ENCIK,"NO.100 JALAN TASEK MUTIARA 6, PERSIARAN MUTIARA 1 ,BTM",a@gmail.com228,04-5060476,04-5899270,14120,14,13,719,69,7,1
,PFA3001,SMA MAAHAD AL MASHOOR AL ISLAMI,ENCIK,"MK.G, JALAN SG. NIPAH ",a@gmail.com210,04-8661190,04-8661193,11000,10,12,678,71,7,1
,PFA3001,SMA MAAHAD AL MASHOOR AL ISLAMI,ENCIK,"MK.G, JALAN SG. NIPAH ",a@gmail.com224,04-8661190,04-8661193,11000,14,12,678,71,7,1
,XFT3001,SEKOLAH MENENGAH ISLAMIAH TAWAU,ENCIK,"KM 1.5, JLN UTARA,  PETI SURAT 604",a@gmail.com120,089-772761,089-772761,91008,14,99,1245,81,12,1
